document_type,source_root,source_folder,invoice_type,invoice_status_hint,client_name,document_number,order_reference,delivery_reference,document_date,file_name,relative_path,extension
delivery,albaranes,albaranes,,,NITATOR HYLTE AB,1,25_591,1,07-01-26,1-NITATOR HYLTE AB 25_591 (07-01-26).pdf,albaranes/1-NITATOR HYLTE AB 25_591 (07-01-26).pdf,.pdf
delivery,albaranes,albaranes,,,CONJET,10,25_569,10,09-01-26,10-CONJET 25_569 (09-01-26).pdf,albaranes/10-CONJET 25_569 (09-01-26).pdf,.pdf
delivery,albaranes,albaranes,,,BENTELER VIGO,100,26_56,100,25-02-26,100-BENTELER VIGO 26_56 (25-02-26).pdf,albaranes/100-BENTELER VIGO 26_56 (25-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,ONA ELECTROEROSIÓN,101,26_31; 26_30; 26_43,101,25-02-26,101-ONA ELECTROEROSIÓN 26_31; 26_30; 26_43 (25-02-26).pdf,albaranes/101-ONA ELECTROEROSIÓN 26_31; 26_30; 26_43 (25-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,S. OLOFSTRÖM,102,26_17,102,25-02-26,102-S. OLOFSTRÖM 26_17 (25-02-26).pdf,albaranes/102-S. OLOFSTRÖM 26_17 (25-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,VARAS HARD METAL,103,26_14; 26_15; 26_16; 26_23,103,25-02-26,103-VARAS HARD METAL 26_14; 26_15; 26_16; 26_23 (25-02-26).pdf,albaranes/103-VARAS HARD METAL 26_14; 26_15; 26_16; 26_23 (25-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,CINN-CSIC,104,26_90,104,19-02-26,104-CINN-CSIC 26_90 (19-02-26).pdf,albaranes/104-CINN-CSIC 26_90 (19-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,HIPERBARIC,105,26_47,105,26-02-26,105-HIPERBARIC 26_47 (26-02-26).pdf,albaranes/105-HIPERBARIC 26_47 (26-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,UNIV. POLITECNICA DE CATALUNY,106,,106,23-02-26,106-UNIV. POLITECNICA DE CATALUNY para FR 2-(23-02-26).pdf,albaranes/106-UNIV. POLITECNICA DE CATALUNY para FR 2-(23-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,AUBERT & DUVAL,108,25_491,108,27-02-26,108-AUBERT & DUVAL 25_491 (27-02-26).pdf,albaranes/108-AUBERT & DUVAL 25_491 (27-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,INMA ARAGÓN,109,26_97,109,27-02-26,109-INMA ARAGÓN 26_97 (27-02-26).pdf,albaranes/109-INMA ARAGÓN 26_97 (27-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,HIPERBARIC,11,25_461,11,09-01-25,11-HIPERBARIC 25_461 (09-01-25).pdf,albaranes/11-HIPERBARIC 25_461 (09-01-25).pdf,.pdf
delivery,albaranes,albaranes,,,ICV,110,26_98,110,27-02-26,110-ICV 26_98 (27-02-26).pdf,albaranes/110-ICV 26_98 (27-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,CERN,111,24_250,111,28-02-26,111-CERN 24_250 (28-02-26).pdf,albaranes/111-CERN 24_250 (28-02-26).pdf,.pdf
delivery,albaranes,albaranes,,,CERN,112,24_647,112,28-02-26,112 CERN 24_647 (28-02-26).pdf,albaranes/112 CERN 24_647 (28-02-26).pdf,.pdf
