order_reference,order_document_number,delivery_reference,delivery_document_number,invoice_reference,invoice_document_number,client_name,operational_status,document_status,confidence,matching_rule,notes
25_594,25_594,,,,,IDOM CONSULTING,confirmed,,,order_only,order_files=1
26S_1,26S__1,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_10,26S__10,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_2,26S__2,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_3,26S__3,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_4,26S__4,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_5,26S__5,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_6,26S__6,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_7,26S__7,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_8,26S__8,,,,,STOCK,confirmed,,,order_only,order_files=1
26S_9,26S__9,,,,,STOCK,confirmed,,,order_only,order_files=1
26_1,26_1,4,4,,,ADIENT CALATORAO,delivered,,high,order_ref_normalized+client_subset,"order_files=1 | matched_ref=26_1,client_normalized_subset,delivery_files=1,delivery_multi_refs=2"
26_10,26_10,50,50,26_10,EX 18,GESCHMIDT,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_10,client_exact,delivery_files=1,delivery_multi_refs=5 | client_exact,invoice_gap_days=35,invoice_files=1,invoice_status=accepted"
26_100,26_100,,,,,JORCAR TITANIUM,confirmed,,,order_only,order_files=1
26_101,26_101,,,,,CSIC,confirmed,,,order_only,order_files=1
26_102,26_102,,,,,GESTAMP BRASIL STA. ISABEL,confirmed,,,order_only,order_files=1
26_103,26_103,,,,,CSIC,confirmed,,,order_only,order_files=1
26_104,26_104,,,,,CERN,confirmed,,,order_only,order_files=1
26_105,26_105,145,145,,,GESTAMP LINARES,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_105,client_exact,delivery_files=1,delivery_multi_refs=3"
26_106,26_106,,,,,ONA ELECTROEROSIÓN,confirmed,,,order_only,order_files=1
26_107,26_107,,,,,LA FARGA YOURCOPPERSOLUTIONS,confirmed,,,order_only,order_files=1
26_108,26_108,,,,,VKI,confirmed,,,order_only,order_files=1
26_109,26_109,,,,,MARGASAM Ltd,confirmed,,,order_only,order_files=1
26_11,26_11,42,42,26_11,EX 3,PIGUET FRÈRES,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_11,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_110,26_110,,,,,FLINSA,confirmed,,,order_only,order_files=1
26_111,26_111,,,,,BOSCO TECNOINDUSTRIA,confirmed,,,order_only,order_files=1
26_112,26_112,,,,,UNIV. DE ZARAGOZA,confirmed,,,order_only,order_files=1
26_113,26_113,123,123,,,ICN2,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_113,client_exact,delivery_files=1,delivery_multi_refs=3"
26_114,26_114,,,,,VARAS HARD METAL,confirmed,,,order_only,order_files=1
26_115,26_115,,,,,ANDERMAN CERAMIQUES,confirmed,,,order_only,order_files=1
26_116,26_116,,,,,TEKNIA PEDROLA,confirmed,,,order_only,order_files=1
26_117,26_117,,,,,VARAS HARD METAL,confirmed,,,order_only,order_files=1
26_118,26_118,,,,,GESTAMP NAVARRA,confirmed,,,order_only,order_files=1
26_119,26_119,,,,,CSIC,confirmed,,,order_only,order_files=1
26_12,26_12,,,,,CANCELADO,confirmed,,,order_only,order_files=1
26_120,26_120,,,,,AQUAJET SYSTEMSpdf,confirmed,,,order_only,order_files=1
26_121,26_121,,,,,ONA ELECTROEROSIÓN,confirmed,,,order_only,order_files=1
26_122,26_122,139,139,,,UNIV. DE ZARAGOZA,delivered,,high,order_ref_normalized+client_subset,"order_files=1 | matched_ref=26_122,client_normalized_subset,delivery_files=1,delivery_multi_refs=3"
26_123,26_123,,,,,GESTAMP NAVARRA,confirmed,,,order_only,order_files=1
26_124,26_124,143,143,26_124,N 45,FUNDACIO BOSCH I GIMPERA,invoiced,accepted,high,order_ref_normalized+client_subset | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_124,client_normalized_subset,delivery_files=1,delivery_multi_refs=3 | client_exact,invoice_gap_days=-1,invoice_files=1,invoice_status=accepted"
26_125,26_125,,,,,ALVAREZ REDONDO,confirmed,,,order_only,order_files=1
26_126,26_126,147,147,,,GESTAMP NAVARRA,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_126,client_exact,delivery_files=1,delivery_multi_refs=3"
26_127,26_127,,,,,GESTAMP NAVARRA,confirmed,,,order_only,order_files=1
26_128,26_128,,,,,ONA ELECTROEROSIÓN,confirmed,,,order_only,order_files=1
26_129,26_129,,,,,CSIC,confirmed,,,order_only,order_files=1
26_13,26_13,31,31,26_13,IC 10,MOTTAZ INDUSTRIE,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_13,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=1,invoice_files=1,invoice_status=accepted"
26_130,26_130,,,,,GESCHMIDT,confirmed,,,order_only,order_files=1
26_131,26_131,,,,,GALICIA AUTOESTAMPACIÓN,confirmed,,,order_only,order_files=1
26_14,26_14,103,103,,,VARAS HARD METAL,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_14,client_exact,delivery_files=1,delivery_multi_refs=6"
26_15,26_15,103,103,,,VARAS HARD METAL,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_15,client_exact,delivery_files=1,delivery_multi_refs=6"
26_16,26_16,103,103,,,VARAS HARD METAL,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_16,client_exact,delivery_files=1,delivery_multi_refs=6"
26_17,26_17,,,,,SHILOH OLOFSTRÖM,confirmed,,,order_only,order_files=1
26_18,26_18,68,68,,,AQUAJET SYSTEMS,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_18,client_exact,delivery_files=1,delivery_multi_refs=2"
26_19,26_19,,,,,SCIENTA OMICRON,confirmed,,,order_only,order_files=1
26_2,26_2,,,,,GERMAN TOOLS,confirmed,,,order_only,order_files=1 | ambiguous_delivery_candidates=2 | ambiguous_plan=delivery
